,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,87.93103448275862,58.620689655172406,91.37931034482759,62.06896551724138,50.0,60.3448275862069,63.793103448275865,87.93103448275862,72.41379310344827
A02,67.24137931034483,60.3448275862069,56.896551724137936,56.896551724137936,51.724137931034484,56.896551724137936,68.96551724137932,65.51724137931035,51.724137931034484
A03,67.24137931034483,48.275862068965516,100.0,62.06896551724138,50.0,56.896551724137936,53.44827586206896,84.48275862068965,81.03448275862068
A04,46.55172413793103,41.37931034482759,68.96551724137932,68.96551724137932,56.896551724137936,48.275862068965516,56.896551724137936,51.724137931034484,50.0
A05,51.724137931034484,50.0,50.0,53.44827586206896,55.172413793103445,51.724137931034484,53.44827586206896,55.172413793103445,46.55172413793103
A06,50.0,50.0,50.0,50.0,50.0,56.896551724137936,50.0,82.75862068965517,94.82758620689656
A07,50.0,53.44827586206896,50.0,51.724137931034484,50.0,50.0,55.172413793103445,50.0,46.55172413793103
A08,50.0,50.0,50.0,50.0,50.0,51.724137931034484,50.0,75.86206896551724,94.82758620689656
A09,53.44827586206896,50.0,70.6896551724138,50.0,50.0,70.6896551724138,51.724137931034484,96.55172413793103,75.86206896551724
