,Unnamed: 0,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,,0.0,-17.24137931034482,-3.448275862068982,-6.896551724137936,3.448275862068961,6.896551724137929,0.0,8.620689655172427,24.137931034482776
A02,,-3.448275862068961,0.0,29.310344827586192,5.172413793103445,3.448275862068968,6.896551724137929,-3.448275862068968,27.586206896551715,43.10344827586208
A03,,-5.172413793103445,-3.448275862068961,0.0,-10.344827586206904,1.7241379310344769,0.0,6.896551724137936,8.620689655172413,13.793103448275872
A04,,31.034482758620697,20.689655172413794,27.58620689655173,0.0,0.0,18.965517241379303,3.448275862068961,41.37931034482759,46.551724137931046
A05,,18.965517241379317,6.896551724137936,46.551724137931046,1.724137931034484,0.0,13.793103448275872,3.448275862068975,39.65517241379311,48.27586206896552
A06,,13.793103448275865,5.172413793103445,44.827586206896555,3.448275862068961,0.0,0.0,15.517241379310349,12.06896551724138,0.0
A07,,18.965517241379317,5.172413793103445,44.827586206896555,3.448275862068968,10.344827586206897,17.241379310344826,0.0,43.103448275862064,50.000000000000014
A08,,22.41379310344827,5.172413793103445,44.827586206896555,3.448275862068961,3.448275862068961,13.793103448275872,13.793103448275865,0.0,0.0
A09,,29.310344827586214,10.344827586206897,25.862068965517253,6.896551724137936,6.896551724137936,-6.896551724137929,18.965517241379317,0.0,0.0
