,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,87.93103448275862,43.103448275862064,89.65517241379311,65.51724137931035,50.0,58.620689655172406,56.896551724137936,91.37931034482759,96.55172413793103
A02,72.41379310344827,60.3448275862069,89.65517241379311,67.24137931034483,62.06896551724138,63.793103448275865,62.06896551724138,89.65517241379311,94.82758620689656
A03,58.620689655172406,43.103448275862064,100.0,63.793103448275865,53.44827586206896,60.3448275862069,65.51724137931035,89.65517241379311,94.82758620689656
A04,74.13793103448276,70.6896551724138,87.93103448275862,68.96551724137932,56.896551724137936,60.3448275862069,51.724137931034484,91.37931034482759,96.55172413793103
A05,67.24137931034483,56.896551724137936,81.03448275862068,67.24137931034483,55.172413793103445,67.24137931034483,50.0,93.10344827586206,94.82758620689656
A06,62.06896551724138,63.793103448275865,87.93103448275862,60.3448275862069,50.0,56.896551724137936,65.51724137931035,89.65517241379311,94.82758620689656
A07,67.24137931034483,58.620689655172406,84.48275862068965,56.896551724137936,58.620689655172406,53.44827586206896,55.172413793103445,93.10344827586206,96.55172413793103
A08,60.3448275862069,62.06896551724138,89.65517241379311,51.724137931034484,65.51724137931035,60.3448275862069,70.6896551724138,75.86206896551724,94.82758620689656
A09,79.3103448275862,63.793103448275865,91.37931034482759,55.172413793103445,56.896551724137936,68.96551724137932,70.6896551724138,96.55172413793103,75.86206896551724
