,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,87.93103448275862,41.37931034482759,87.93103448275862,55.172413793103445,53.44827586206896,67.24137931034483,63.793103448275865,96.55172413793103,96.55172413793103
A02,63.793103448275865,60.3448275862069,86.20689655172413,62.06896551724138,55.172413793103445,63.793103448275865,65.51724137931035,93.10344827586206,94.82758620689656
A03,62.06896551724138,44.827586206896555,100.0,51.724137931034484,51.724137931034484,56.896551724137936,60.3448275862069,93.10344827586206,94.82758620689656
A04,77.58620689655173,62.06896551724138,96.55172413793103,68.96551724137932,56.896551724137936,67.24137931034483,60.3448275862069,93.10344827586206,96.55172413793103
A05,70.6896551724138,56.896551724137936,96.55172413793103,55.172413793103445,55.172413793103445,65.51724137931035,56.896551724137936,94.82758620689656,94.82758620689656
A06,63.793103448275865,55.172413793103445,94.82758620689656,53.44827586206896,50.0,56.896551724137936,65.51724137931035,94.82758620689656,94.82758620689656
A07,68.96551724137932,58.620689655172406,94.82758620689656,55.172413793103445,60.3448275862069,67.24137931034483,55.172413793103445,93.10344827586206,96.55172413793103
A08,72.41379310344827,55.172413793103445,94.82758620689656,53.44827586206896,53.44827586206896,65.51724137931035,63.793103448275865,75.86206896551724,94.82758620689656
A09,82.75862068965517,60.3448275862069,96.55172413793103,56.896551724137936,56.896551724137936,63.793103448275865,70.6896551724138,96.55172413793103,75.86206896551724
