,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,87.93103448275862,46.55172413793103,91.37931034482759,55.172413793103445,46.55172413793103,56.896551724137936,51.724137931034484,65.51724137931035,58.620689655172406
A02,50.0,50.0,48.275862068965516,51.724137931034484,51.724137931034484,53.44827586206896,51.724137931034484,48.275862068965516,51.724137931034484
A03,81.03448275862068,55.172413793103445,96.55172413793103,56.896551724137936,50.0,55.172413793103445,50.0,79.3103448275862,70.6896551724138
A04,51.724137931034484,48.275862068965516,60.3448275862069,63.793103448275865,53.44827586206896,56.896551724137936,51.724137931034484,60.3448275862069,51.724137931034484
A05,46.55172413793103,51.724137931034484,43.103448275862064,65.51724137931035,77.58620689655173,56.896551724137936,63.793103448275865,65.51724137931035,60.3448275862069
A06,55.172413793103445,51.724137931034484,68.96551724137932,48.275862068965516,50.0,68.96551724137932,50.0,70.6896551724138,72.41379310344827
A07,50.0,50.0,50.0,50.0,51.724137931034484,65.51724137931035,55.172413793103445,50.0,55.172413793103445
A08,50.0,50.0,55.172413793103445,50.0,50.0,53.44827586206896,50.0,86.20689655172413,87.93103448275862
A09,50.0,50.0,51.724137931034484,50.0,50.0,67.24137931034483,50.0,72.41379310344827,94.82758620689656
