,Unnamed: 0,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,,0.0,-15.517241379310342,-1.724137931034491,3.448275862068968,0.0,-1.724137931034491,-6.896551724137929,3.448275862068982,24.137931034482776
A02,,5.172413793103445,0.0,32.758620689655174,10.34482758620689,10.344827586206904,6.896551724137929,-6.896551724137936,24.13793103448276,43.10344827586208
A03,,-8.62068965517242,-5.172413793103459,0.0,1.724137931034484,3.448275862068961,3.448275862068961,12.068965517241388,5.172413793103459,13.793103448275872
A04,,27.58620689655173,29.310344827586206,18.965517241379303,0.0,0.0,12.068965517241374,-5.172413793103459,39.655172413793125,46.551724137931046
A05,,15.517241379310349,6.896551724137936,31.034482758620683,13.793103448275865,0.0,15.517241379310349,-3.448275862068961,37.93103448275862,48.27586206896552
A06,,12.06896551724138,13.793103448275865,37.93103448275862,10.344827586206897,0.0,0.0,15.517241379310349,6.896551724137936,0.0
A07,,17.241379310344826,5.172413793103445,34.48275862068965,5.172413793103459,8.620689655172406,3.448275862068961,0.0,43.103448275862064,50.000000000000014
A08,,10.344827586206897,12.06896551724138,39.65517241379311,1.7241379310344769,15.517241379310349,8.62068965517242,20.689655172413794,0.0,0.0
A09,,25.862068965517246,13.793103448275865,20.689655172413808,5.172413793103445,6.896551724137936,-1.7241379310344769,18.965517241379317,0.0,0.0
