,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,87.93103448275862,51.724137931034484,82.75862068965517,51.724137931034484,60.3448275862069,55.172413793103445,62.06896551724138,87.93103448275862,94.82758620689656
A02,56.896551724137936,60.3448275862069,68.96551724137932,53.44827586206896,60.3448275862069,55.172413793103445,72.41379310344827,65.51724137931035,94.82758620689656
A03,50.0,43.103448275862064,100.0,48.275862068965516,68.96551724137932,62.06896551724138,65.51724137931035,91.37931034482759,94.82758620689656
A04,72.41379310344827,43.103448275862064,93.10344827586206,68.96551724137932,65.51724137931035,65.51724137931035,63.793103448275865,91.37931034482759,94.82758620689656
A05,56.896551724137936,48.275862068965516,84.48275862068965,53.44827586206896,55.172413793103445,67.24137931034483,53.44827586206896,93.10344827586206,94.82758620689656
A06,56.896551724137936,50.0,77.58620689655173,50.0,58.620689655172406,56.896551724137936,53.44827586206896,94.82758620689656,94.82758620689656
A07,55.172413793103445,46.55172413793103,89.65517241379311,50.0,70.6896551724138,67.24137931034483,55.172413793103445,94.82758620689656,94.82758620689656
A08,58.620689655172406,46.55172413793103,86.20689655172413,53.44827586206896,55.172413793103445,60.3448275862069,60.3448275862069,75.86206896551724,94.82758620689656
A09,63.793103448275865,43.103448275862064,96.55172413793103,50.0,55.172413793103445,56.896551724137936,55.172413793103445,94.82758620689656,75.86206896551724
