,Unnamed: 0,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,,0.0,-6.896551724137929,-8.620689655172427,-10.344827586206904,10.344827586206897,-5.172413793103452,-1.724137931034484,0.0,22.413793103448285
A02,,-10.34482758620689,0.0,12.06896551724138,-3.448275862068975,8.62068965517242,-1.724137931034491,3.4482758620689538,0.0,43.10344827586208
A03,,-17.241379310344826,-5.172413793103459,0.0,-13.793103448275858,18.965517241379317,5.172413793103445,12.068965517241388,6.89655172413795,13.793103448275872
A04,,25.86206896551724,1.7241379310344769,24.137931034482747,0.0,8.620689655172413,17.241379310344826,6.896551724137929,39.655172413793125,44.827586206896555
A05,,5.172413793103459,-1.7241379310344769,34.48275862068965,0.0,0.0,15.517241379310349,0.0,37.93103448275862,48.27586206896552
A06,,6.896551724137936,0.0,27.58620689655173,0.0,8.620689655172406,0.0,3.448275862068961,12.06896551724138,0.0
A07,,5.172413793103445,-6.896551724137929,39.65517241379311,-1.7241379310344769,20.689655172413794,17.241379310344826,0.0,44.827586206896555,48.27586206896552
A08,,8.620689655172406,-3.448275862068968,36.20689655172413,3.448275862068961,5.172413793103445,8.62068965517242,10.344827586206897,0.0,0.0
A09,,10.344827586206904,-6.896551724137936,25.862068965517253,0.0,5.172413793103445,-13.793103448275858,3.448275862068968,-1.724137931034491,0.0
